Info 0    [03:16:43.324] Starting TS Server
Info 85   [03:19:44.953] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 2.7648790013045073ms
Info 86   [03:19:44.953] Different program with same set of files
Info 87   [03:19:45.612] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 88   [03:19:45.615] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 2.7236110009253025ms
Info 89   [03:19:45.615] Different program with same set of files
Info 90   [03:19:46.178] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 91   [03:19:46.181] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 3.1555139999836683ms
Info 92   [03:19:46.181] Different program with same set of files
Info 93   [03:19:46.193] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 94   [03:19:46.195] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 1.286803999915719ms
Info 95   [03:19:46.195] Different program with same set of files
Info 96   [03:19:47.397] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 97   [03:19:47.400] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false structureIsReused:: Completely Elapsed: 2.6860289983451366ms
Info 98   [03:19:47.400] Different program with same set of files
Info 99   [03:19:47.853] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 100  [03:19:47.856] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false structureIsReused:: Completely Elapsed: 2.512474000453949ms
Info 101  [03:19:47.856] Different program with same set of files
Info 102  [03:19:47.997] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 103  [03:19:48.000] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false structureIsReused:: Completely Elapsed: 2.2260429989546537ms
Info 104  [03:19:48.000] Different program with same set of files
Info 105  [03:19:48.143] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 106  [03:19:48.145] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false structureIsReused:: Completely Elapsed: 2.0011599995195866ms
Info 107  [03:19:48.145] Different program with same set of files
Info 108  [03:19:48.292] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 109  [03:19:48.294] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false structureIsReused:: Completely Elapsed: 2.0048459991812706ms
Info 110  [03:19:48.294] Different program with same set of files
Info 111  [03:19:48.439] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 112  [03:19:48.441] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false structureIsReused:: Completely Elapsed: 1.974829999729991ms
Info 113  [03:19:48.441] Different program with same set of files
Info 114  [03:19:48.585] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 115  [03:19:48.587] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false structureIsReused:: Completely Elapsed: 1.9570259992033243ms
Info 116  [03:19:48.587] Different program with same set of files
Info 117  [03:19:49.832] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 118  [03:19:49.835] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false structureIsReused:: Completely Elapsed: 2.530937999486923ms
Info 119  [03:19:49.835] Different program with same set of files
Info 120  [03:19:49.909] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 121  [03:19:49.912] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false structureIsReused:: Completely Elapsed: 2.7239520009607077ms
Info 122  [03:19:49.912] Different program with same set of files
Info 123  [03:19:50.016] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 124  [03:19:50.018] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false structureIsReused:: Completely Elapsed: 2.0715319998562336ms
Info 125  [03:19:50.018] Different program with same set of files
Info 126  [03:19:50.077] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 127  [03:19:50.079] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false structureIsReused:: Completely Elapsed: 2.005408998578787ms
Info 128  [03:19:50.079] Different program with same set of files
Info 129  [03:19:50.262] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 130  [03:19:50.264] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false structureIsReused:: Completely Elapsed: 1.989537999033928ms
Info 131  [03:19:50.264] Different program with same set of files
Info 132  [03:19:50.349] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 133  [03:19:50.350] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false structureIsReused:: Completely Elapsed: 1.4027920011430979ms
Info 134  [03:19:50.350] Different program with same set of files
Info 135  [03:19:50.445] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 136  [03:19:50.447] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false structureIsReused:: Completely Elapsed: 1.9112299997359514ms
Info 137  [03:19:50.447] Different program with same set of files
Info 138  [03:19:50.509] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 139  [03:19:50.512] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false structureIsReused:: Completely Elapsed: 2.3828090000897646ms
Info 140  [03:19:50.512] Different program with same set of files
Info 141  [03:19:50.703] getCompletionData: Get current token: 0.00715399906039238
Info 142  [03:19:50.703] getCompletionData: Is inside comment: 0.028364000841975212
Info 143  [03:19:50.703] getCompletionData: Get previous token: 0.04364200122654438
Info 144  [03:19:50.703] getCompletionsAtPosition: isCompletionListBlocker: 0.022413000464439392
Info 145  [03:19:50.705] getExportInfoMap: cache hit
Info 146  [03:19:50.706] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 147  [03:19:50.706] collectAutoImports: response is complete
Info 148  [03:19:50.706] collectAutoImports: 0.14376099966466427
Info 149  [03:19:50.706] getCompletionData: Semantic work: 2.677343999966979
Info 150  [03:19:50.714] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.787032999098301
Info 151  [03:19:51.029] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 152  [03:19:51.031] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false structureIsReused:: Completely Elapsed: 2.091439999639988ms
Info 153  [03:19:51.031] Different program with same set of files
Info 154  [03:19:51.031] getCompletionData: Get current token: 0.005400000140070915
Info 155  [03:19:51.032] getCompletionData: Is inside comment: 0.028363998979330063
Info 156  [03:19:51.032] getCompletionData: Get previous token: 0.021069999784231186
Info 157  [03:19:51.032] getCompletionsAtPosition: isCompletionListBlocker: 0.003767000511288643
Info 158  [03:19:51.033] getCompletionData: Semantic work: 1.3467660006135702
Info 159  [03:19:51.035] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 2.1435580011457205
Info 160  [03:19:51.633] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 161  [03:19:51.636] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false structureIsReused:: Completely Elapsed: 2.4337249994277954ms
Info 162  [03:19:51.636] Different program with same set of files
Info 163  [03:19:51.965] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 164  [03:19:51.967] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false structureIsReused:: Completely Elapsed: 2.2442489992827177ms
Info 165  [03:19:51.968] Different program with same set of files
Info 166  [03:19:53.401] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 167  [03:19:53.404] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false structureIsReused:: Completely Elapsed: 2.6549120005220175ms
Info 168  [03:19:53.404] Different program with same set of files
Info 169  [03:19:54.399] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 170  [03:19:54.401] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false structureIsReused:: Completely Elapsed: 2.0536980014294386ms
Info 171  [03:19:54.401] Different program with same set of files
Info 172  [03:19:55.809] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 173  [03:19:55.812] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false structureIsReused:: Completely Elapsed: 2.150061000138521ms
Info 174  [03:19:55.812] Different program with same set of files
Info 175  [03:19:56.984] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 176  [03:19:56.987] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false structureIsReused:: Completely Elapsed: 3.202454000711441ms
Info 177  [03:19:56.988] Different program with same set of files
Info 178  [03:19:56.988] getCompletionData: Get current token: 0.041148001328110695
Info 179  [03:19:56.988] getCompletionData: Is inside comment: 0.014166999608278275
Info 180  [03:19:56.988] getCompletionData: Get previous token: 0.07913899980485439
Info 181  [03:19:56.988] getCompletionsAtPosition: isCompletionListBlocker: 0.005309998989105225
Info 182  [03:19:56.991] getCompletionData: Semantic work: 2.359814999625087
Info 183  [03:19:57.005] getCompletionData: Get current token: 0.021409999579191208
Info 184  [03:19:57.005] getCompletionData: Is inside comment: 0.10545800067484379
Info 185  [03:19:57.005] getCompletionData: Get previous token: 0.059262000024318695
Info 186  [03:19:57.005] getCompletionsAtPosition: isCompletionListBlocker: 0.004227999597787857
Info 187  [03:19:57.006] getCompletionData: Semantic work: 0.9396000001579523
Info 188  [03:19:57.844] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 189  [03:19:57.846] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false structureIsReused:: Completely Elapsed: 2.003533998504281ms
Info 190  [03:19:57.846] Different program with same set of files
Info 191  [03:19:57.888] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 192  [03:19:57.889] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false structureIsReused:: Completely Elapsed: 1.7563489992171526ms
Info 193  [03:19:57.889] Different program with same set of files
Info 194  [03:19:58.767] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 195  [03:19:58.769] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false structureIsReused:: Completely Elapsed: 1.932660998776555ms
Info 196  [03:19:58.769] Different program with same set of files
Info 197  [03:19:58.895] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 198  [03:19:58.897] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false structureIsReused:: Completely Elapsed: 2.0635669995099306ms
Info 199  [03:19:58.897] Different program with same set of files
Info 200  [03:19:59.013] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 201  [03:19:59.015] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false structureIsReused:: Completely Elapsed: 1.7657159995287657ms
Info 202  [03:19:59.015] Different program with same set of files
Info 203  [03:19:59.935] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 204  [03:19:59.937] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 48 structureChanged: false structureIsReused:: Completely Elapsed: 2.1413529999554157ms
Info 205  [03:19:59.938] Different program with same set of files
Info 206  [03:20:01.431] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 207  [03:20:01.433] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 49 structureChanged: false structureIsReused:: Completely Elapsed: 2.140471998602152ms
Info 208  [03:20:01.433] Different program with same set of files
Info 209  [03:20:01.505] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 210  [03:20:01.506] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 50 structureChanged: false structureIsReused:: Completely Elapsed: 1.285971999168396ms
Info 211  [03:20:01.506] Different program with same set of files
Info 212  [03:20:01.577] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 213  [03:20:01.578] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 51 structureChanged: false structureIsReused:: Completely Elapsed: 1.124218000099063ms
Info 214  [03:20:01.578] Different program with same set of files
Info 215  [03:20:01.780] getCompletionData: Get current token: 0.0037779994308948517
Info 216  [03:20:01.780] getCompletionData: Is inside comment: 0.0021339990198612213
Info 217  [03:20:01.780] getCompletionData: Get previous token: 0.023885000497102737
Info 218  [03:20:01.780] getCompletionsAtPosition: isCompletionListBlocker: 0.01064000092446804
Info 219  [03:20:01.781] getExportInfoMap: cache hit
Info 220  [03:20:01.782] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 221  [03:20:01.782] collectAutoImports: response is complete
Info 222  [03:20:01.782] collectAutoImports: 0.038332000374794006
Info 223  [03:20:01.782] getCompletionData: Semantic work: 1.4862289987504482
Info 224  [03:20:01.786] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 4.3970329985022545
Info 225  [03:20:01.856] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 226  [03:20:01.858] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 52 structureChanged: false structureIsReused:: Completely Elapsed: 2.257633000612259ms
Info 227  [03:20:01.858] Different program with same set of files
Info 228  [03:20:01.858] getCompletionData: Get current token: 0.00740399956703186
Info 229  [03:20:01.859] getCompletionData: Is inside comment: 0.0039969999343156815
Info 230  [03:20:01.859] getCompletionData: Get previous token: 0.053960999473929405
Info 231  [03:20:01.859] getCompletionsAtPosition: isCompletionListBlocker: 0.02100900001823902
Info 232  [03:20:01.861] getExportInfoMap: cache hit
Info 233  [03:20:01.861] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 234  [03:20:01.861] collectAutoImports: response is complete
Info 235  [03:20:01.861] collectAutoImports: 0.08069200068712234
Info 236  [03:20:01.861] getCompletionData: Semantic work: 2.2891009990125895
Info 237  [03:20:01.870] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.511733999475837
Info 238  [03:20:02.076] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 239  [03:20:02.078] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 53 structureChanged: false structureIsReused:: Completely Elapsed: 1.4549209997057915ms
Info 240  [03:20:02.078] Different program with same set of files
Info 241  [03:20:02.237] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 242  [03:20:02.240] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 54 structureChanged: false structureIsReused:: Completely Elapsed: 2.410461001098156ms
Info 243  [03:20:02.240] Different program with same set of files
Info 244  [03:20:02.326] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 245  [03:20:02.327] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 55 structureChanged: false structureIsReused:: Completely Elapsed: 1.360673001036048ms
Info 246  [03:20:02.327] Different program with same set of files
Info 247  [03:20:02.414] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 248  [03:20:02.416] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 56 structureChanged: false structureIsReused:: Completely Elapsed: 1.6092109996825457ms
Info 249  [03:20:02.416] Different program with same set of files
Info 250  [03:20:02.426] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 251  [03:20:02.427] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 57 structureChanged: false structureIsReused:: Completely Elapsed: 0.9136300012469292ms
Info 252  [03:20:02.427] Different program with same set of files
Info 253  [03:20:02.428] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 254  [03:20:02.429] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 58 structureChanged: false structureIsReused:: Completely Elapsed: 0.8777729999274015ms
Info 255  [03:20:02.429] Different program with same set of files
Info 256  [03:20:02.535] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 257  [03:20:02.536] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 59 structureChanged: false structureIsReused:: Completely Elapsed: 1.0483650006353855ms
Info 258  [03:20:02.536] Different program with same set of files
Info 259  [03:20:02.727] getCompletionData: Get current token: 0.004238000139594078
Info 260  [03:20:02.727] getCompletionData: Is inside comment: 0.0021340008825063705
Info 261  [03:20:02.727] getCompletionData: Get previous token: 0.02168000116944313
Info 262  [03:20:02.727] getCompletionsAtPosition: isCompletionListBlocker: 0.013574998825788498
Info 263  [03:20:02.729] getExportInfoMap: cache hit
Info 264  [03:20:02.729] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 265  [03:20:02.729] collectAutoImports: response is complete
Info 266  [03:20:02.729] collectAutoImports: 0.0784280002117157
Info 267  [03:20:02.729] getCompletionData: Semantic work: 1.9318589996546507
Info 268  [03:20:02.741] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 11.385065998882055
Info 269  [03:20:02.890] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 270  [03:20:02.892] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 60 structureChanged: false structureIsReused:: Completely Elapsed: 1.5231199990957975ms
Info 271  [03:20:02.892] Different program with same set of files
Info 272  [03:20:03.016] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 273  [03:20:03.017] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 61 structureChanged: false structureIsReused:: Completely Elapsed: 1.4450819995254278ms
Info 274  [03:20:03.017] Different program with same set of files
Info 275  [03:20:03.156] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 276  [03:20:03.158] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 62 structureChanged: false structureIsReused:: Completely Elapsed: 1.6335879992693663ms
Info 277  [03:20:03.158] Different program with same set of files
Info 278  [03:20:03.298] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 279  [03:20:03.299] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 63 structureChanged: false structureIsReused:: Completely Elapsed: 1.0902539994567633ms
Info 280  [03:20:03.299] Different program with same set of files
Info 281  [03:20:03.434] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 282  [03:20:03.436] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 64 structureChanged: false structureIsReused:: Completely Elapsed: 1.9266699999570847ms
Info 283  [03:20:03.436] Different program with same set of files
Info 284  [03:20:03.733] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 285  [03:20:03.735] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 65 structureChanged: false structureIsReused:: Completely Elapsed: 1.5508110001683235ms
Info 286  [03:20:03.735] Different program with same set of files
Info 287  [03:20:03.886] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 288  [03:20:03.888] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 66 structureChanged: false structureIsReused:: Completely Elapsed: 1.8113010004162788ms
Info 289  [03:20:03.888] Different program with same set of files
Info 290  [03:20:03.973] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 291  [03:20:03.974] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 67 structureChanged: false structureIsReused:: Completely Elapsed: 1.0943420007824898ms
Info 292  [03:20:03.974] Different program with same set of files
Info 293  [03:20:04.033] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 294  [03:20:04.035] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 68 structureChanged: false structureIsReused:: Completely Elapsed: 1.7661870010197163ms
Info 295  [03:20:04.035] Different program with same set of files
Info 296  [03:20:04.117] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
